scope,weighting,base,n_tasks,n_modules,n_cells,k,null_m,block_z,mean_raw,mean_null_iso,mean_null_exact,mean_excess_exact,fraction_explained,fraction_explained_pct,frac_num_sum,frac_den_sum,n_blocks_min,n_blocks_median,n_blocks_max
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,4,16,1.0,0.10594580229119042,0.004557291666666667,0.02897105331000635,0.07697474898118407,0.24079416388462566,24.079416388462565,333.98025928088686,1386.994825343485,12,16.0,16
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,4,16,2.0,0.10594580229119042,0.004557291666666667,0.028918988869247063,0.07702681342194337,0.24028064967637283,24.028064967637285,333.26801773129984,1386.994825343485,8,14.0,16
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,4,16,3.0,0.10594580229119042,0.004557291666666667,0.028868760003346053,0.07707704228784439,0.23978523983563627,23.978523983563626,332.580886845774,1386.994825343485,7,13.0,15
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,4,32,1.0,0.10594580229119042,0.004557291666666667,0.03033636319540157,0.07560943909578885,0.25426028422691405,25.426028422691406,352.6576985130935,1386.994825343485,17,29.0,32
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,4,32,2.0,0.10594580229119042,0.004557291666666667,0.030209744322778516,0.07573605796841192,0.25301143589249114,25.301143589249115,350.9255523356101,1386.994825343485,10,24.0,28
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,4,32,3.0,0.10594580229119042,0.004557291666666667,0.030112753377720455,0.07583304891346997,0.2520548093037325,25.20548093037325,349.59871620721583,1386.994825343485,7,17.0,25
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,4,64,1.0,0.10594580229119042,0.004557291666666667,0.0310359683567465,0.07490983393444392,0.2611605252604943,26.116052526049433,362.22829712029215,1386.994825343485,22,53.0,63
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,4,64,2.0,0.10594580229119042,0.004557291666666667,0.030893110626469968,0.07505269166472046,0.25975151225303844,25.975151225303843,360.27400337010914,1386.994825343485,12,37.0,50
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,4,64,3.0,0.10594580229119042,0.004557291666666667,0.030783429784810818,0.0751623725063796,0.2586697245733147,25.86697245733147,358.773569456212,1386.994825343485,7,21.0,39
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,8,16,1.0,0.10457364820564787,0.009114583333333334,0.028544811943464237,0.07602883626218364,0.20354513881023933,20.354513881023934,265.80552738659077,1305.8800074532628,12,16.0,16
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,8,16,2.0,0.10457364820564787,0.009114583333333334,0.028481652553609047,0.07609199565203882,0.2028835003378777,20.28835003378777,264.9415069333718,1305.8800074532628,8,14.0,16
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,8,16,3.0,0.10457364820564787,0.009114583333333334,0.028417589243820453,0.07615605896182741,0.2022123926764494,20.22123926764494,264.0651208554638,1305.8800074532628,7,13.0,15
all_task_pairs_x_all_retained_modules,equal_cell_ratio_of_sums,openai/clip-vit-base-patch16@5ef227a78de3f75873f373246dac80def63b0003,20,72,13680,8,32,1.0,0.10457364820564787,0.009114583333333334,0.031940107380394336,0.07263354082525353,0.23911321651424397,23.911321651424398,312.25316896379456,1305.8800074532628,17,29.0,32
