module,d_in,a,b,k,m,null_kind,n_blocks,raw,cond,null_iso,null_act_raw,null_act_cond,excess_over_iso,excess_raw,excess_cond,h0_excess,excess_raw_corrected
encoder.layers.0.self_attn.q_proj,768,dtd,eurosat,8,18,lora,24,0.6772293448448181,0.6776963472366333,0.010416666666666666,0.5186201296746731,0.5185874411836267,0.6668126781781515,0.15860921517014503,0.15910890605300665,0.0,0.15860921517014503
encoder.layers.0.self_attn.q_proj,768,dtd,gtsrb,8,18,lora,24,0.6908331513404846,0.693818211555481,0.010416666666666666,0.5120426076464355,0.5127136595547199,0.680416484673818,0.17879054369404912,0.18110455200076103,0.0,0.17879054369404912
encoder.layers.0.self_attn.q_proj,768,dtd,mnist,8,18,lora,24,0.6900355815887451,0.6934689283370972,0.010416666666666666,0.5122416643425822,0.5127853411249816,0.6796189149220785,0.1777939172461629,0.18068358721211553,0.0,0.1777939172461629
encoder.layers.0.self_attn.q_proj,768,dtd,resisc45,8,18,lora,24,0.7592363953590393,0.7614043951034546,0.010416666666666666,0.5199824548326433,0.520495718345046,0.7488197286923727,0.23925394052639604,0.24090867675840855,0.0,0.23925394052639604
encoder.layers.0.self_attn.q_proj,768,dtd,stanford-cars,8,18,lora,24,0.6849903464317322,0.6860612630844116,0.010416666666666666,0.5146894189529121,0.5152317360043526,0.6745736797650655,0.17030092747882009,0.17082952708005905,0.0,0.17030092747882009
encoder.layers.0.self_attn.q_proj,768,dtd,sun397,8,18,lora,24,0.694061279296875,0.6945499777793884,0.010416666666666666,0.5093374685384333,0.5098274359479547,0.6836446126302084,0.1847238107584417,0.18472254183143377,0.0,0.1847238107584417
encoder.layers.0.self_attn.q_proj,768,dtd,svhn,8,18,lora,24,0.7043457627296448,0.7043312788009644,0.010416666666666666,0.5115436320193112,0.5119666685350239,0.6939290960629781,0.19280213071033359,0.19236461026594043,0.0,0.19280213071033359
encoder.layers.0.self_attn.q_proj,768,eurosat,gtsrb,8,18,lora,24,0.7523802518844604,0.7542592287063599,0.010416666666666666,0.5047400859184563,0.5051027867011726,0.7419635852177938,0.24764016596600413,0.24915644200518727,0.0,0.24764016596600413
encoder.layers.0.self_attn.q_proj,768,eurosat,mnist,8,18,lora,24,0.6899040341377258,0.6925185918807983,0.010416666666666666,0.5012366129085422,0.5015568840317428,0.6794873674710592,0.18866742122918367,0.19096170784905553,0.0,0.18866742122918367
encoder.layers.0.self_attn.q_proj,768,eurosat,resisc45,8,18,lora,24,0.6559049487113953,0.6577224135398865,0.010416666666666666,0.5062365783378482,0.5072673885151744,0.6454882820447286,0.14966837037354708,0.15045502502471209,0.0,0.14966837037354708
encoder.layers.0.self_attn.q_proj,768,eurosat,stanford-cars,8,18,lora,24,0.6095592379570007,0.6149109601974487,0.010416666666666666,0.5037101954221725,0.5045123184099793,0.5991425712903341,0.10584904253482819,0.11039864178746939,0.0,0.10584904253482819
encoder.layers.0.self_attn.q_proj,768,eurosat,sun397,8,18,lora,24,0.6653082370758057,0.6623736023902893,0.010416666666666666,0.5069546909071505,0.5075300191529095,0.654891570409139,0.15835354616865516,0.1548435832373798,0.0,0.15835354616865516
encoder.layers.0.self_attn.q_proj,768,eurosat,svhn,8,18,lora,24,0.7153862118721008,0.7141021490097046,0.010416666666666666,0.5095961494371295,0.5100471517071128,0.7049695452054342,0.20579006243497133,0.2040549973025918,0.0,0.20579006243497133
encoder.layers.0.self_attn.q_proj,768,gtsrb,mnist,8,18,lora,24,0.7680285573005676,0.7677809000015259,0.010416666666666666,0.5170583738945425,0.5167784281075001,0.757611890633901,0.25097018340602517,0.2510024718940258,0.0,0.25097018340602517
encoder.layers.0.self_attn.q_proj,768,gtsrb,resisc45,8,18,lora,24,0.7542721629142761,0.755445122718811,0.010416666666666666,0.5078144678846002,0.5079841814003885,0.7438554962476095,0.24645769502967596,0.24746094131842256,0.0,0.24645769502967596
encoder.layers.0.self_attn.q_proj,768,gtsrb,stanford-cars,8,18,lora,24,0.7214961051940918,0.7250226736068726,0.010416666666666666,0.5048029175959527,0.5053972215391695,0.7110794385274252,0.21669318759813905,0.219625452067703,0.0,0.21669318759813905
encoder.layers.0.self_attn.q_proj,768,gtsrb,sun397,8,18,lora,24,0.6534553170204163,0.6539339423179626,0.010416666666666666,0.5123646627180278,0.512446507345885,0.6430386503537496,0.14109065430238843,0.1414874349720776,0.0,0.14109065430238843
encoder.layers.0.self_attn.q_proj,768,gtsrb,svhn,8,18,lora,24,0.7589555382728577,0.7578577995300293,0.010416666666666666,0.508356109727174,0.5088881920091808,0.748538871606191,0.2505994285456836,0.2489696075208485,0.0,0.2505994285456836
encoder.layers.0.self_attn.q_proj,768,mnist,resisc45,8,18,lora,24,0.7438398599624634,0.74861741065979,0.010416666666666666,0.5070603382773697,0.5081936377100646,0.7334231932957967,0.23677952168509364,0.2404237729497254,0.0,0.23677952168509364
encoder.layers.0.self_attn.q_proj,768,mnist,stanford-cars,8,18,lora,24,0.6549010872840881,0.6553851962089539,0.010416666666666666,0.5102101862430573,0.5105247353203595,0.6444844206174215,0.14469090104103088,0.1448604608885944,0.0,0.14469090104103088
encoder.layers.0.self_attn.q_proj,768,mnist,sun397,8,18,lora,24,0.6461113691329956,0.6486451625823975,0.010416666666666666,0.5151198534294963,0.5157340001314878,0.635694702466329,0.13099151570349932,0.13291116245090961,0.0,0.13099151570349932
encoder.layers.0.self_attn.q_proj,768,mnist,svhn,8,18,lora,24,0.7135818004608154,0.7139539122581482,0.010416666666666666,0.5052712615579367,0.5059523684903979,0.7031651337941488,0.20831053890287876,0.20800154376775026,0.0,0.20831053890287876
encoder.layers.0.self_attn.q_proj,768,resisc45,stanford-cars,8,18,lora,24,0.6967570781707764,0.7017724514007568,0.010416666666666666,0.5142393126152456,0.5147108309902251,0.6863404115041097,0.1825177655555308,0.18706162041053176,0.0,0.1825177655555308
encoder.layers.0.self_attn.q_proj,768,resisc45,sun397,8,18,lora,24,0.6936118602752686,0.6942354440689087,0.010416666666666666,0.5185973807238042,0.5193130825646222,0.6831951936086019,0.17501447955146432,0.17492236150428653,0.0,0.17501447955146432
encoder.layers.0.self_attn.q_proj,768,resisc45,svhn,8,18,lora,24,0.7488694787025452,0.7493110299110413,0.010416666666666666,0.5090274722315371,0.5093367635272443,0.7384528120358785,0.23984200647100806,0.23997426638379693,0.0,0.23984200647100806
encoder.layers.0.self_attn.q_proj,768,stanford-cars,sun397,8,18,lora,24,0.5977762937545776,0.6006821990013123,0.010416666666666666,0.5053938748314977,0.5063347425311804,0.587359627087911,0.09238241892307997,0.09434745647013187,0.0,0.09238241892307997
encoder.layers.0.self_attn.q_proj,768,stanford-cars,svhn,8,18,lora,24,0.6551558971405029,0.6571977138519287,0.010416666666666666,0.505229908041656,0.505297502502799,0.6447392304738363,0.1499259890988469,0.15190021134912968,0.0,0.1499259890988469
encoder.layers.0.self_attn.q_proj,768,sun397,svhn,8,18,lora,24,0.6778457760810852,0.67756187915802,0.010416666666666666,0.5124283996410668,0.5124353030696511,0.6674291094144186,0.16541737644001842,0.1651265760883689,0.0,0.16541737644001842
encoder.layers.0.self_attn.v_proj,768,dtd,eurosat,8,18,lora,24,0.7927162647247314,0.7930643558502197,0.010416666666666666,0.5047408030368388,0.5050782733596861,0.7822995980580648,0.2879754616878927,0.2879860824905336,0.0,0.2879754616878927
encoder.layers.0.self_attn.v_proj,768,dtd,gtsrb,8,18,lora,24,0.746492862701416,0.7492596507072449,0.010416666666666666,0.5074482010677457,0.5073691667057574,0.7360761960347494,0.23904466163367033,0.2418904840014875,0.0,0.23904466163367033
