module,d_in,a,b,k,m,null_kind,n_blocks,raw,cond,null_iso,null_act_raw,null_act_cond,excess_over_iso,excess_raw,excess_cond,h0_excess,excess_raw_corrected
encoder.layers.0.self_attn.q_proj,768,dtd,eurosat,8,18,lora,24,0.6505789160728455,0.6512371301651001,0.010416666666666666,0.5165871479548514,0.516320476308465,0.6401622494061788,0.13399176811799407,0.1349166538566351,0.0,0.13399176811799407
encoder.layers.0.self_attn.q_proj,768,dtd,gtsrb,8,18,lora,24,0.6959546208381653,0.6993286609649658,0.010416666666666666,0.5053266123868525,0.5053233336657286,0.6855379541714987,0.19062800845131278,0.19400532729923725,0.0,0.19062800845131278
encoder.layers.0.self_attn.q_proj,768,dtd,mnist,8,18,lora,24,0.6788041591644287,0.681914210319519,0.010416666666666666,0.5085061718709767,0.5084391441196203,0.6683874924977621,0.17029798729345202,0.17347506619989872,0.0,0.17029798729345202
encoder.layers.0.self_attn.q_proj,768,dtd,resisc45,8,18,lora,24,0.6960009336471558,0.6938379406929016,0.010416666666666666,0.5150192133150995,0.5153506719507277,0.6855842669804891,0.18098172033205628,0.1784872687421739,0.0,0.18098172033205628
encoder.layers.0.self_attn.q_proj,768,dtd,stanford-cars,8,18,lora,24,0.7163998484611511,0.7182954549789429,0.010416666666666666,0.5087004387751222,0.5084619312547147,0.7059831817944845,0.20769940968602896,0.20983352372422814,0.0,0.20769940968602896
encoder.layers.0.self_attn.q_proj,768,dtd,sun397,8,18,lora,24,0.669385552406311,0.6697920560836792,0.010416666666666666,0.5056401379406452,0.5059186886064708,0.6589688857396444,0.16374541446566582,0.16387336747720838,0.0,0.16374541446566582
encoder.layers.0.self_attn.q_proj,768,dtd,svhn,8,18,lora,24,0.6403217315673828,0.6414437890052795,0.010416666666666666,0.5031497767195106,0.5035819322802126,0.6299050649007162,0.13717195484787226,0.1378618567250669,0.0,0.13717195484787226
encoder.layers.0.self_attn.q_proj,768,eurosat,gtsrb,8,18,lora,24,0.7172874212265015,0.7203168869018555,0.010416666666666666,0.5014912490732968,0.5015103383921087,0.7068707545598348,0.21579617215320468,0.2188065485097468,0.0,0.21579617215320468
encoder.layers.0.self_attn.q_proj,768,eurosat,mnist,8,18,lora,24,0.6899571418762207,0.6911895275115967,0.010416666666666666,0.4977033594623208,0.49810746405273676,0.6795404752095541,0.1922537824138999,0.19308206345885992,0.0,0.1922537824138999
encoder.layers.0.self_attn.q_proj,768,eurosat,resisc45,8,18,lora,24,0.6439470648765564,0.6435964703559875,0.010416666666666666,0.5035270936787128,0.5041312025859952,0.6335303982098898,0.14041997119784355,0.13946526776999235,0.0,0.14041997119784355
