module,d_in,rp,n_experts,n_blocks,projector_survives_null,chance,projector_in_top_activation,activation_chance
encoder.layers.0.mlp.fc1,768,128,8,28,0.3263438393672307,0.16666666666666666,0.3298666775226593,0.08333333333333333
encoder.layers.1.mlp.fc1,768,128,8,43,0.3134227395057678,0.16666666666666666,0.3224352300167084,0.08333333333333333
encoder.layers.10.mlp.fc1,768,128,8,31,0.20213260501623154,0.16666666666666666,0.19508036971092224,0.08333333333333333
encoder.layers.11.mlp.fc1,768,128,8,34,0.17591619739929834,0.16666666666666666,0.13868780434131622,0.08333333333333333
encoder.layers.2.mlp.fc1,768,128,8,46,0.3293333152929942,0.16666666666666666,0.3320123255252838,0.08333333333333333
encoder.layers.3.mlp.fc1,768,128,8,47,0.3041292130947113,0.16666666666666666,0.3095928430557251,0.08333333333333333
encoder.layers.4.mlp.fc1,768,128,8,41,0.27190016210079193,0.16666666666666666,0.27837544679641724,0.08333333333333333
encoder.layers.5.mlp.fc1,768,128,8,45,0.2567002425591151,0.16666666666666666,0.2617606520652771,0.08333333333333333
encoder.layers.6.mlp.fc1,768,128,8,43,0.24964764714241028,0.16666666666666666,0.25673216581344604,0.08333333333333333
encoder.layers.7.mlp.fc1,768,128,8,43,0.23320268094539642,0.16666666666666666,0.24221844971179962,0.08333333333333333
encoder.layers.8.mlp.fc1,768,128,8,39,0.23083904137214026,0.16666666666666666,0.24207495152950287,0.08333333333333333
encoder.layers.9.mlp.fc1,768,128,8,37,0.21931889901558557,0.16666666666666666,0.22546395659446716,0.08333333333333333
