module,d_in,rp,n_experts,n_blocks,projector_survives_null,chance,projector_in_top_activation,activation_chance
encoder.layers.0.self_attn.q_proj,768,16,8,24,0.9829916755358378,0.020833333333333332,0.09543396532535553,0.08333333333333333
encoder.layers.0.self_attn.v_proj,768,16,8,24,0.8468804955482483,0.020833333333333332,0.1021953672170639,0.08333333333333333
encoder.layers.1.self_attn.q_proj,768,16,8,29,0.9835491279760996,0.020833333333333332,0.10147001594305038,0.08333333333333333
encoder.layers.1.self_attn.v_proj,768,16,8,29,0.8479958474636078,0.020833333333333332,0.14006933569908142,0.08333333333333333
encoder.layers.10.self_attn.q_proj,768,16,8,32,0.8168396453062693,0.020833333333333332,0.14732970297336578,0.08333333333333333
encoder.layers.10.self_attn.v_proj,768,16,8,32,0.8160215814908346,0.020833333333333332,0.15128938853740692,0.08333333333333333
encoder.layers.11.self_attn.q_proj,768,16,8,31,0.6443087458610535,0.020833333333333332,0.09418831765651703,0.08333333333333333
encoder.layers.11.self_attn.v_proj,768,16,8,31,0.8146878381570181,0.020833333333333332,0.12630999088287354,0.08333333333333333
encoder.layers.2.self_attn.q_proj,768,16,8,47,0.9599268237749735,0.020833333333333332,0.12130899727344513,0.08333333333333333
encoder.layers.2.self_attn.v_proj,768,16,8,47,0.8662218252817789,0.020833333333333332,0.15301309525966644,0.08333333333333333
encoder.layers.3.self_attn.q_proj,768,16,8,48,0.9539845685164133,0.020833333333333332,0.12559941411018372,0.08333333333333333
encoder.layers.3.self_attn.v_proj,768,16,8,48,0.8539789815743765,0.020833333333333332,0.15857115387916565,0.08333333333333333
encoder.layers.4.self_attn.q_proj,768,16,8,49,0.9181950191656748,0.020833333333333332,0.1421177089214325,0.08333333333333333
encoder.layers.4.self_attn.v_proj,768,16,8,49,0.8689192334810892,0.020833333333333332,0.15189065039157867,0.08333333333333333
encoder.layers.5.self_attn.q_proj,768,16,8,50,0.9474809865156809,0.020833333333333332,0.13076677918434143,0.08333333333333333
encoder.layers.5.self_attn.v_proj,768,16,8,50,0.8624926606814066,0.020833333333333332,0.152680903673172,0.08333333333333333
encoder.layers.6.self_attn.q_proj,768,16,8,44,0.9142201542854309,0.020833333333333332,0.1363060474395752,0.08333333333333333
encoder.layers.6.self_attn.v_proj,768,16,8,44,0.8823090394337972,0.020833333333333332,0.14623066782951355,0.08333333333333333
encoder.layers.7.self_attn.q_proj,768,16,8,38,0.9044975539048513,0.020833333333333332,0.13491368293762207,0.08333333333333333
encoder.layers.7.self_attn.v_proj,768,16,8,38,0.9089216887950897,0.020833333333333332,0.1450490653514862,0.08333333333333333
encoder.layers.8.self_attn.q_proj,768,16,8,37,0.901719997326533,0.020833333333333332,0.13734227418899536,0.08333333333333333
encoder.layers.8.self_attn.v_proj,768,16,8,37,0.8591177960236868,0.020833333333333332,0.1472553163766861,0.08333333333333333
encoder.layers.9.self_attn.q_proj,768,16,8,34,0.8411749502023061,0.020833333333333332,0.14977644383907318,0.08333333333333333
encoder.layers.9.self_attn.v_proj,768,16,8,34,0.8024277885754904,0.020833333333333332,0.16295096278190613,0.08333333333333333
