module,d_in,a,b,k,m,null_kind,n_blocks,raw,cond,null_iso,null_act_raw,null_act_cond,excess_over_iso,excess_raw,excess_cond,h0_excess,excess_raw_corrected
encoder.layers.0.self_attn.q_proj,768,cifar10,cifar100,8,18,coupling,21,0.40779298543930054,0.5522732138633728,0.010416666666666666,0.07437334675341845,0.20620203204452991,0.39737631877263385,0.3334196386858821,0.3460711818188429,0.000499919056892395,0.3329197196289897
encoder.layers.0.self_attn.q_proj,768,cifar10,dtd,8,18,coupling,21,0.27496010065078735,0.39124512672424316,0.010416666666666666,0.025477476185187697,0.11593930330127478,0.26454343398412067,0.24948262446559966,0.2753058234229684,0.000499919056892395,0.24898270540870726
encoder.layers.0.self_attn.q_proj,768,cifar10,emnist_letters,8,18,coupling,21,0.3605591356754303,0.3928249478340149,0.010416666666666666,0.04703543148934841,0.1383028393611312,0.3501424690087636,0.3135237041860819,0.2545221084728837,0.000499919056892395,0.3130237851291895
encoder.layers.0.self_attn.q_proj,768,cifar10,eurosat,8,18,coupling,21,0.3075457811355591,0.44558826088905334,0.010416666666666666,0.0428607773501426,0.14031127374619246,0.2971291144688924,0.2646850037854165,0.3052769871428609,0.000499919056892395,0.2641850847285241
encoder.layers.0.self_attn.q_proj,768,cifar10,fashion_mnist,8,18,coupling,21,0.3650222718715668,0.40602925419807434,0.010416666666666666,0.04699208727106452,0.12492961250245571,0.3546056052049001,0.31803018460050225,0.28109964169561863,0.000499919056892395,0.31753026554360986
encoder.layers.0.self_attn.q_proj,768,cifar10,fer2013,8,18,coupling,21,0.35614013671875,0.4058723747730255,0.010416666666666666,0.04817250929772854,0.13174011930823326,0.3457234700520833,0.30796762742102146,0.27413225546479225,0.000499919056892395,0.30746770836412907
encoder.layers.0.self_attn.q_proj,768,cifar10,food101,8,18,coupling,21,0.2748012840747833,0.39195287227630615,0.010416666666666666,0.029923840425908566,0.12702716048806906,0.26438461740811664,0.24487744364887476,0.2649257117882371,0.000499919056892395,0.24437752459198236
encoder.layers.0.self_attn.q_proj,768,cifar10,gtsrb,8,18,coupling,21,0.345234751701355,0.515190839767456,0.010416666666666666,0.07272783946245909,0.19666407443583012,0.3348180850346883,0.2725069122388959,0.31852676533162594,0.000499919056892395,0.2720069931820035
encoder.layers.0.self_attn.q_proj,768,cifar10,kmnist,8,18,coupling,21,0.335300087928772,0.36313703656196594,0.010416666666666666,0.04863226506859064,0.11560521926730871,0.3248834212621053,0.28666782286018133,0.24753181729465723,0.000499919056892395,0.28616790380328894
encoder.layers.0.self_attn.q_proj,768,cifar10,mnist,8,18,coupling,21,0.35188865661621094,0.37346041202545166,0.010416666666666666,0.051098810974508524,0.12839994300156832,0.34147198994954425,0.3007898456417024,0.24506046902388334,0.000499919056892395,0.30028992658481
encoder.layers.0.self_attn.q_proj,768,cifar10,oxford-iiit-pet,8,18,coupling,21,0.2472998946905136,0.32102170586586,0.010416666666666666,0.030023140367120504,0.11297893524169922,0.23688322802384695,0.2172767543233931,0.20804277062416077,0.000499919056892395,0.2167768352665007
encoder.layers.0.self_attn.q_proj,768,cifar10,oxford_flowers102,8,18,coupling,21,0.272922158241272,0.3857550024986267,0.010416666666666666,0.0394884820561856,0.12506166845560074,0.2625054915746053,0.23343367618508637,0.26069333404302597,0.000499919056892395,0.23293375712819397
encoder.layers.0.self_attn.q_proj,768,cifar10,pcam,8,18,coupling,21,0.2124088555574417,0.29990479350090027,0.010416666666666666,0.03169318661093712,0.11232716776430607,0.20199218889077505,0.1807156689465046,0.1875776257365942,0.000499919056892395,0.1802157498896122
encoder.layers.0.self_attn.q_proj,768,cifar10,rendered-sst2,8,18,coupling,21,0.1647205501794815,0.17826448380947113,0.010416666666666666,0.014663423062302172,0.03685376374050975,0.15430388351281485,0.15005712711717933,0.14141072006896138,0.000499919056892395,0.14955720806028694
encoder.layers.0.self_attn.q_proj,768,cifar10,resisc45,8,18,coupling,21,0.2021043747663498,0.24010968208312988,0.010416666666666666,0.01939189899712801,0.055370451882481575,0.19168770809968314,0.18271247576922178,0.1847392302006483,0.000499919056892395,0.1822125567123294
encoder.layers.0.self_attn.q_proj,768,cifar10,stanford-cars,8,18,coupling,21,0.25514766573905945,0.32909849286079407,0.010416666666666666,0.02373033738695085,0.08781647216528654,0.2447309990723928,0.2314173283521086,0.24128202069550753,0.000499919056892395,0.2309174092952162
encoder.layers.0.self_attn.q_proj,768,cifar10,stl10,8,18,coupling,21,0.31625789403915405,0.43974927067756653,0.010416666666666666,0.038771955762058496,0.14171314891427755,0.30584122737248737,0.27748593827709556,0.298036121763289,0.000499919056892395,0.27698601922020316
encoder.layers.0.self_attn.q_proj,768,cifar10,sun397,8,18,coupling,21,0.2117752730846405,0.2610042095184326,0.010416666666666666,0.018636007327586412,0.07113459007814527,0.20135860641797385,0.1931392657570541,0.18986961944028735,0.000499919056892395,0.1926393467001617
encoder.layers.0.self_attn.q_proj,768,cifar10,svhn,8,18,coupling,21,0.3988425135612488,0.5153098702430725,0.010416666666666666,0.06542925164103508,0.1747418725863099,0.3884258468945821,0.3334132619202137,0.3405679976567626,0.000499919056892395,0.3329133428633213
encoder.layers.0.self_attn.q_proj,768,cifar100,dtd,8,18,coupling,21,0.23906774818897247,0.36036190390586853,0.010416666666666666,0.029161831829696894,0.12200808338820934,0.22865108152230582,0.20990591635927558,0.2383538205176592,0.000499919056892395,0.20940599730238318
encoder.layers.0.self_attn.q_proj,768,cifar100,emnist_letters,8,18,coupling,21,0.3461446762084961,0.3673175275325775,0.010416666666666666,0.05084831593558192,0.13426772691309452,0.3357280095418294,0.29529636027291417,0.233049800619483,0.000499919056892395,0.2947964412160218
