module,d_in,a,b,k,m,null_kind,n_blocks,raw,cond,null_iso,null_act_raw,null_act_cond,excess_over_iso,excess_raw,excess_cond,h0_excess,excess_raw_corrected
encoder.layers.0.self_attn.q_proj,768,dtd,eurosat,8,18,lora,24,0.6505789160728455,0.6512371301651001,0.010416666666666666,0.520329313352704,0.5214047282934189,0.6401622494061788,0.1302496027201414,0.1298324018716812,0.0,0.1302496027201414
encoder.layers.0.self_attn.q_proj,768,dtd,gtsrb,8,18,lora,24,0.6959546208381653,0.6993286609649658,0.010416666666666666,0.5027017127722502,0.5031107887625694,0.6855379541714987,0.1932529080659151,0.1962178722023964,0.0,0.1932529080659151
encoder.layers.0.self_attn.q_proj,768,dtd,mnist,8,18,lora,24,0.6788041591644287,0.681914210319519,0.010416666666666666,0.5064771715551615,0.5063866022974253,0.6683874924977621,0.17232698760926723,0.17552760802209377,0.0,0.17232698760926723
encoder.layers.0.self_attn.q_proj,768,dtd,resisc45,8,18,lora,24,0.6960009336471558,0.6938379406929016,0.010416666666666666,0.5223574433475733,0.5223154649138451,0.6855842669804891,0.17364349029958248,0.17152247577905655,0.0,0.17364349029958248
encoder.layers.0.self_attn.q_proj,768,dtd,stanford-cars,8,18,lora,24,0.7163998484611511,0.7182954549789429,0.010416666666666666,0.5045188385993242,0.5029795486479998,0.7059831817944845,0.2118810098618269,0.2153159063309431,0.0,0.2118810098618269
encoder.layers.0.self_attn.q_proj,768,dtd,sun397,8,18,lora,24,0.669385552406311,0.6697920560836792,0.010416666666666666,0.49092188850045204,0.4922632873058319,0.6589688857396444,0.178463663905859,0.1775287687778473,0.0,0.178463663905859
encoder.layers.0.self_attn.q_proj,768,dtd,svhn,8,18,lora,24,0.6403217315673828,0.6414437890052795,0.010416666666666666,0.4984642993658781,0.4989145342260599,0.6299050649007162,0.1418574322015047,0.14252925477921963,0.0,0.1418574322015047
encoder.layers.0.self_attn.q_proj,768,eurosat,gtsrb,8,18,lora,24,0.7172874212265015,0.7203168869018555,0.010416666666666666,0.5114802438765764,0.5115875229239464,0.7068707545598348,0.20580717734992504,0.2087293639779091,0.0,0.20580717734992504
encoder.layers.0.self_attn.q_proj,768,eurosat,mnist,8,18,lora,24,0.6899571418762207,0.6911895275115967,0.010416666666666666,0.5138880386948586,0.5144616682082415,0.6795404752095541,0.17606910318136215,0.17672785930335522,0.0,0.17606910318136215
encoder.layers.0.self_attn.q_proj,768,eurosat,resisc45,8,18,lora,24,0.6439470648765564,0.6435964703559875,0.010416666666666666,0.511120367795229,0.511429913341999,0.6335303982098898,0.13282669708132744,0.1321665570139885,0.0,0.13282669708132744
encoder.layers.0.self_attn.q_proj,768,eurosat,stanford-cars,8,18,lora,24,0.6345300674438477,0.6385817527770996,0.010416666666666666,0.4972295928746462,0.4987714011222124,0.624113400777181,0.13730047456920147,0.1398103516548872,0.0,0.13730047456920147
encoder.layers.0.self_attn.q_proj,768,eurosat,sun397,8,18,lora,24,0.6531703472137451,0.6512414216995239,0.010416666666666666,0.4990605004131794,0.4999045468866825,0.6427536805470785,0.15410984680056572,0.15133687481284142,0.0,0.15410984680056572
encoder.layers.0.self_attn.q_proj,768,eurosat,svhn,8,18,lora,24,0.7203212976455688,0.7201100587844849,0.010416666666666666,0.5103015284985304,0.5109138153493404,0.7099046309789022,0.21001976914703846,0.20919624343514442,0.0,0.21001976914703846
encoder.layers.0.self_attn.q_proj,768,gtsrb,mnist,8,18,lora,24,0.7582260966300964,0.7593114376068115,0.010416666666666666,0.5057624224573374,0.5057294964790344,0.7478094299634298,0.25246367417275906,0.2535819411277771,0.0,0.25246367417275906
encoder.layers.0.self_attn.q_proj,768,gtsrb,resisc45,8,18,lora,24,0.6451563239097595,0.6461153030395508,0.010416666666666666,0.49906058609485626,0.4985638000071049,0.6347396572430929,0.14609573781490326,0.1475515030324459,0.0,0.14609573781490326
encoder.layers.0.self_attn.q_proj,768,gtsrb,stanford-cars,8,18,lora,24,0.7060962319374084,0.709700882434845,0.010416666666666666,0.49984239786863327,0.5000348016619682,0.6956795652707418,0.20625383406877518,0.20966608077287674,0.0,0.20625383406877518
encoder.layers.0.self_attn.q_proj,768,gtsrb,sun397,8,18,lora,24,0.6303057670593262,0.6324228048324585,0.010416666666666666,0.4911126382648945,0.4906723704189062,0.6198891003926595,0.1391931287944317,0.14175043441355228,0.0,0.1391931287944317
encoder.layers.0.self_attn.q_proj,768,gtsrb,svhn,8,18,lora,24,0.780144214630127,0.7789895534515381,0.010416666666666666,0.5119664333760738,0.5112608019262552,0.7697275479634603,0.2681777812540531,0.26772875152528286,0.0,0.2681777812540531
encoder.layers.0.self_attn.q_proj,768,mnist,resisc45,8,18,lora,24,0.6550922393798828,0.6546800136566162,0.010416666666666666,0.5133311543613672,0.513149231672287,0.6446755727132162,0.1417610850185156,0.14153078198432922,0.0,0.1417610850185156
encoder.layers.0.self_attn.q_proj,768,mnist,stanford-cars,8,18,lora,24,0.6154425740242004,0.6163555383682251,0.010416666666666666,0.5125746037811041,0.514286607503891,0.6050259073575338,0.10286797024309635,0.1020689308643341,0.0,0.10286797024309635
encoder.layers.0.self_attn.q_proj,768,mnist,sun397,8,18,lora,24,0.6333553791046143,0.6351979970932007,0.010416666666666666,0.5119424872100353,0.5124600101262331,0.6229387124379476,0.12141289189457893,0.12273798696696758,0.0,0.12141289189457893
encoder.layers.0.self_attn.q_proj,768,mnist,svhn,8,18,lora,24,0.7064230442047119,0.7069411873817444,0.010416666666666666,0.5083418432623148,0.5110545866191387,0.6960063775380453,0.19808120094239712,0.19588660076260567,0.0,0.19808120094239712
encoder.layers.0.self_attn.q_proj,768,resisc45,stanford-cars,8,18,lora,24,0.64764004945755,0.6471619009971619,0.010416666666666666,0.5131576173007488,0.5128143392503262,0.6372233827908834,0.13448243215680122,0.1343475617468357,0.0,0.13448243215680122
encoder.layers.0.self_attn.q_proj,768,resisc45,sun397,8,18,lora,24,0.7252742052078247,0.7255719304084778,0.010416666666666666,0.5119573380798101,0.5128124747425318,0.7148575385411581,0.21331686712801456,0.212759455665946,0.0,0.21331686712801456
encoder.layers.0.self_attn.q_proj,768,resisc45,svhn,8,18,lora,24,0.6488186717033386,0.6495200395584106,0.010416666666666666,0.4970517233014107,0.49737573973834515,0.638402005036672,0.15176694840192795,0.1521442998200655,0.0,0.15176694840192795
encoder.layers.0.self_attn.q_proj,768,stanford-cars,sun397,8,18,lora,24,0.6335764527320862,0.6390418410301208,0.010416666666666666,0.5125036835670471,0.5126035548746586,0.6231597860654196,0.12107276916503906,0.12643828615546227,0.0,0.12107276916503906
encoder.layers.0.self_attn.q_proj,768,stanford-cars,svhn,8,18,lora,24,0.6426264047622681,0.6458027362823486,0.010416666666666666,0.4916301593184471,0.4898572117090225,0.6322097380956014,0.15099624544382095,0.1559455245733261,0.0,0.15099624544382095
encoder.layers.0.self_attn.q_proj,768,sun397,svhn,8,18,lora,24,0.5995428562164307,0.5989588499069214,0.010416666666666666,0.5037265215069056,0.5043312627822161,0.589126189549764,0.09581633470952511,0.09462758712470531,0.0,0.09581633470952511
encoder.layers.0.self_attn.v_proj,768,dtd,eurosat,8,18,lora,24,0.7303366661071777,0.7376425862312317,0.010416666666666666,0.49486646987497807,0.4964427724480629,0.7199199994405111,0.23547019623219967,0.2411998137831688,0.0,0.23547019623219967
encoder.layers.0.self_attn.v_proj,768,dtd,gtsrb,8,18,lora,24,0.6834592223167419,0.683724582195282,0.010416666666666666,0.4867210127413273,0.4869498647749424,0.6730425556500753,0.19673820957541466,0.19677471742033958,0.0,0.19673820957541466
encoder.layers.0.self_attn.v_proj,768,dtd,mnist,8,18,lora,24,0.7072743773460388,0.7098329663276672,0.010416666666666666,0.49622638523578644,0.4958409294486046,0.6968577106793722,0.21104799211025238,0.21399203687906265,0.0,0.21104799211025238
encoder.layers.0.self_attn.v_proj,768,dtd,resisc45,8,18,lora,24,0.8917417526245117,0.8945640921592712,0.010416666666666666,0.4736195020377636,0.47370336204767227,0.8813250859578451,0.4181222505867481,0.42086073011159897,0.0,0.4181222505867481
encoder.layers.0.self_attn.v_proj,768,dtd,stanford-cars,8,18,lora,24,0.8212538361549377,0.8222370743751526,0.010416666666666666,0.488879956305027,0.4889167547225952,0.8108371694882711,0.33237387984991074,0.3333203196525574,0.0,0.33237387984991074
