module,d_in,a,b,k,m,null_kind,n_blocks,raw,cond,null_iso,null_act_raw,null_act_cond,excess_over_iso,excess_raw,excess_cond,h0_excess,excess_raw_corrected
encoder.layers.0.mlp.fc1,768,cifar10,cifar100,8,4,coupling,25,0.32191482186317444,0.31709569692611694,0.010416666666666666,0.03861307306215167,0.04081741037468115,0.31149815519650775,0.28330174880102277,0.27627828655143577,0.0019348288575808208,0.28136691994344193
encoder.layers.0.mlp.fc1,768,cifar10,dtd,8,4,coupling,25,0.1588238626718521,0.16979782283306122,0.010416666666666666,0.022739865817129612,0.026133822587629158,0.14840719600518545,0.1360839968547225,0.14366400024543205,0.0019348288575808208,0.1341491679971417
encoder.layers.0.mlp.fc1,768,cifar10,emnist_letters,8,4,coupling,25,0.2141844481229782,0.21433807909488678,0.010416666666666666,0.03289912920445204,0.032054455329974495,0.20376778145631155,0.18128531891852617,0.18228362376491228,0.0019348288575808208,0.17935049006094536
encoder.layers.0.mlp.fc1,768,cifar10,eurosat,8,4,coupling,25,0.19884967803955078,0.20367659628391266,0.010416666666666666,0.025639950452993315,0.029021452957143385,0.18843301137288412,0.17320972758655748,0.17465514332676926,0.0019348288575808208,0.17127489872897667
encoder.layers.0.mlp.fc1,768,cifar10,fashion_mnist,8,4,coupling,25,0.21165478229522705,0.21485012769699097,0.010416666666666666,0.03406511930127939,0.03520354007681211,0.2012381156285604,0.17758966299394766,0.17964658762017885,0.0019348288575808208,0.17565483413636684
encoder.layers.0.mlp.fc1,768,cifar10,fer2013,8,4,coupling,25,0.25950729846954346,0.25968870520591736,0.010416666666666666,0.0364216947928071,0.03458016241590182,0.2490906318028768,0.22308560367673635,0.22510854279001555,0.0019348288575808208,0.22115077481915554
encoder.layers.0.mlp.fc1,768,cifar10,food101,8,4,coupling,25,0.17024275660514832,0.17606963217258453,0.010416666666666666,0.02599495726947983,0.0328827810784181,0.15982608993848166,0.14424779933566848,0.14318685109416643,0.0019348288575808208,0.14231297047808766
encoder.layers.0.mlp.fc1,768,cifar10,gtsrb,8,4,coupling,25,0.18690171837806702,0.1899915486574173,0.010416666666666666,0.03396592863524953,0.03493586337814728,0.17648505171140036,0.1529357897428175,0.15505568527927002,0.0019348288575808208,0.15100096088523668
encoder.layers.0.mlp.fc1,768,cifar10,kmnist,8,4,coupling,25,0.2017434686422348,0.20665504038333893,0.010416666666666666,0.03363415443648895,0.035407265182584524,0.19132680197556814,0.16810931420574585,0.1712477752007544,0.0019348288575808208,0.16617448534816504
encoder.layers.0.mlp.fc1,768,cifar10,mnist,8,4,coupling,25,0.19723986089229584,0.20690248906612396,0.010416666666666666,0.03481115105872353,0.03453935217112303,0.18682319422562918,0.1624287098335723,0.17236313689500093,0.0019348288575808208,0.1604938809759915
encoder.layers.0.mlp.fc1,768,cifar10,oxford-iiit-pet,8,4,coupling,25,0.19204027950763702,0.19772310554981232,0.010416666666666666,0.03301165159791708,0.03475996060296893,0.18162361284097037,0.15902862790971994,0.16296314494684339,0.0019348288575808208,0.15709379905213913
encoder.layers.0.mlp.fc1,768,cifar10,oxford_flowers102,8,4,coupling,25,0.17621102929115295,0.18110871315002441,0.010416666666666666,0.03166323434561491,0.03664613049477339,0.1657943626244863,0.14454779494553804,0.14446258265525103,0.0019348288575808208,0.14261296608795723
encoder.layers.0.mlp.fc1,768,cifar10,pcam,8,4,coupling,25,0.08406026661396027,0.09447847306728363,0.010416666666666666,0.018516383599489927,0.024022925024231274,0.0736435999472936,0.06554388301447034,0.07045554804305236,0.0019348288575808208,0.06360905415688951
encoder.layers.0.mlp.fc1,768,cifar10,rendered-sst2,8,4,coupling,25,0.05582449585199356,0.05790643021464348,0.010416666666666666,0.015730564016848803,0.018294152493278187,0.045407829185326896,0.04009393183514476,0.03961227772136529,0.0019348288575808208,0.03815910297756394
encoder.layers.0.mlp.fc1,768,cifar10,resisc45,8,4,coupling,25,0.1558874249458313,0.16019023954868317,0.010416666666666666,0.027058335952460766,0.03159845247864723,0.14547075827916464,0.12882908899337053,0.12859178707003593,0.0019348288575808208,0.12689426013578972
encoder.layers.0.mlp.fc1,768,cifar10,stanford-cars,8,4,coupling,25,0.1230723112821579,0.13204112648963928,0.010416666666666666,0.021683758900811274,0.027463822315136593,0.11265564461549123,0.10138855238134663,0.10457730417450269,0.0019348288575808208,0.0994537235237658
encoder.layers.0.mlp.fc1,768,cifar10,stl10,8,4,coupling,25,0.17048338055610657,0.17844951152801514,0.010416666666666666,0.026811180946727593,0.028118785936385393,0.1600667138894399,0.14367219960937896,0.15033072559162974,0.0019348288575808208,0.14173737075179815
encoder.layers.0.mlp.fc1,768,cifar10,sun397,8,4,coupling,25,0.16187137365341187,0.17366643249988556,0.010416666666666666,0.026710597487787407,0.031508655132104955,0.1514547069867452,0.13516077616562447,0.1421577773677806,0.0019348288575808208,0.13322594730804366
encoder.layers.0.mlp.fc1,768,cifar10,svhn,8,4,coupling,25,0.24405094981193542,0.23768039047718048,0.010416666666666666,0.03187259115899602,0.03543777313704292,0.23363428314526877,0.2121783586529394,0.20224261734013757,0.0019348288575808208,0.2102435297953586
encoder.layers.0.mlp.fc1,768,cifar100,dtd,8,4,coupling,25,0.13421791791915894,0.1437530219554901,0.010416666666666666,0.02558444331710537,0.031316797249019146,0.12380125125249226,0.10863347460205357,0.11243622470647097,0.0019348288575808208,0.10669864574447274
encoder.layers.0.mlp.fc1,768,cifar100,emnist_letters,8,4,coupling,25,0.1956024169921875,0.1958351880311966,0.010416666666666666,0.029739621561020613,0.031441020468870796,0.18518575032552084,0.1658627954311669,0.1643941675623258,0.0019348288575808208,0.16392796657358608
encoder.layers.0.mlp.fc1,768,cifar100,eurosat,8,4,coupling,25,0.17471756041049957,0.18031948804855347,0.010416666666666666,0.0319667326596876,0.03477220609784126,0.16430089374383292,0.14275082775081196,0.1455472819507122,0.0019348288575808208,0.14081599889323115
