module,d_in,rp,n_experts,n_blocks,projector_survives_null,chance,projector_in_top_activation,activation_chance
encoder.layers.0.self_attn.q_proj,768,16,8,24,0.9828515648841858,0.020833333333333332,0.09543396532535553,0.08333333333333333
encoder.layers.0.self_attn.v_proj,768,16,8,24,0.8469760715961456,0.020833333333333332,0.1021953672170639,0.08333333333333333
encoder.layers.1.self_attn.q_proj,768,16,8,29,0.9833552440007528,0.020833333333333332,0.10147001594305038,0.08333333333333333
encoder.layers.1.self_attn.v_proj,768,16,8,29,0.8482880592346191,0.020833333333333332,0.14006933569908142,0.08333333333333333
encoder.layers.10.self_attn.q_proj,768,16,8,32,0.8169675171375275,0.020833333333333332,0.14732970297336578,0.08333333333333333
encoder.layers.10.self_attn.v_proj,768,16,8,32,0.8160221179326376,0.020833333333333332,0.15128938853740692,0.08333333333333333
encoder.layers.11.self_attn.q_proj,768,16,8,31,0.6446936428546906,0.020833333333333332,0.09418831765651703,0.08333333333333333
encoder.layers.11.self_attn.v_proj,768,16,8,31,0.7378809700409571,0.020833333333333332,0.12630999088287354,0.08333333333333333
encoder.layers.2.self_attn.q_proj,768,16,8,47,0.9598266979058584,0.020833333333333332,0.12130899727344513,0.08333333333333333
encoder.layers.2.self_attn.v_proj,768,16,8,47,0.8655194143454233,0.020833333333333332,0.15301309525966644,0.08333333333333333
encoder.layers.3.self_attn.q_proj,768,16,8,48,0.9539647499720255,0.020833333333333332,0.12559941411018372,0.08333333333333333
encoder.layers.3.self_attn.v_proj,768,16,8,48,0.8535733620325724,0.020833333333333332,0.15857115387916565,0.08333333333333333
encoder.layers.4.self_attn.q_proj,768,16,8,49,0.9183095892270406,0.020833333333333332,0.1421177089214325,0.08333333333333333
encoder.layers.4.self_attn.v_proj,768,16,8,49,0.8683260977268219,0.020833333333333332,0.15189065039157867,0.08333333333333333
encoder.layers.5.self_attn.q_proj,768,16,8,50,0.9470457931359609,0.020833333333333332,0.13076677918434143,0.08333333333333333
encoder.layers.5.self_attn.v_proj,768,16,8,50,0.7828777233759562,0.020833333333333332,0.152680903673172,0.08333333333333333
encoder.layers.6.self_attn.q_proj,768,16,8,44,0.9136595726013184,0.020833333333333332,0.1363060474395752,0.08333333333333333
encoder.layers.6.self_attn.v_proj,768,16,8,44,0.8817279835542043,0.020833333333333332,0.14623066782951355,0.08333333333333333
encoder.layers.7.self_attn.q_proj,768,16,8,38,0.9041188359260559,0.020833333333333332,0.13491368293762207,0.08333333333333333
encoder.layers.7.self_attn.v_proj,768,16,8,38,0.9095568855603536,0.020833333333333332,0.1450490653514862,0.08333333333333333
encoder.layers.8.self_attn.q_proj,768,16,8,37,0.9019507269064585,0.020833333333333332,0.13734227418899536,0.08333333333333333
encoder.layers.8.self_attn.v_proj,768,16,8,37,0.8593703011671702,0.020833333333333332,0.1472553163766861,0.08333333333333333
encoder.layers.9.self_attn.q_proj,768,16,8,34,0.8424703180789948,0.020833333333333332,0.14977644383907318,0.08333333333333333
encoder.layers.9.self_attn.v_proj,768,16,8,34,0.8025120397408804,0.020833333333333332,0.16295096278190613,0.08333333333333333
